city,year,weekofyear,total_cases
sj,2008,18,40
sj,2008,19,39
sj,2008,20,16
sj,2008,21,17
sj,2008,22,17
sj,2008,23,18
sj,2008,24,17
sj,2008,25,15
sj,2008,26,15
sj,2008,27,14
sj,2008,28,20
sj,2008,29,14
sj,2008,30,14
sj,2008,31,13
sj,2008,32,12
sj,2008,33,10
sj,2008,34,11
sj,2008,35,11
sj,2008,36,10
sj,2008,37,11
sj,2008,38,12
sj,2008,39,17
sj,2008,40,21
sj,2008,41,23
sj,2008,42,25
sj,2008,43,26
sj,2008,44,26
sj,2008,45,18
sj,2008,46,17
sj,2008,47,24
sj,2008,48,25
sj,2008,49,50
sj,2008,50,46
sj,2008,51,50
sj,2008,52,39
sj,2009,1,8
sj,2009,2,86
sj,2009,3,96
sj,2009,4,86
sj,2009,5,98
sj,2009,6,83
sj,2009,7,82
sj,2009,8,79
sj,2009,9,108
sj,2009,10,66
sj,2009,11,83
sj,2009,12,78
sj,2009,13,33
sj,2009,14,70
sj,2009,15,69
sj,2009,16,37
sj,2009,17,39
sj,2009,18,37
sj,2009,19,30
sj,2009,20,34
sj,2009,21,69
sj,2009,22,30
sj,2009,23,17
sj,2009,24,19
sj,2009,25,20
sj,2009,26,15
sj,2009,27,13
sj,2009,28,11
sj,2009,29,12
sj,2009,30,12
sj,2009,31,11
sj,2009,32,12
sj,2009,33,10
sj,2009,34,11
sj,2009,35,9
sj,2009,36,9
sj,2009,37,11
sj,2009,38,10
sj,2009,39,13
sj,2009,40,18
sj,2009,41,19
sj,2009,42,20
sj,2009,43,20
sj,2009,44,19
sj,2009,45,19
sj,2009,46,22
sj,2009,47,13
sj,2009,48,24
sj,2009,49,18
sj,2009,50,21
sj,2009,51,21
sj,2009,52,22
sj,2010,53,14
sj,2010,1,23
sj,2010,2,26
sj,2010,3,81
sj,2010,4,84
sj,2010,5,119
sj,2010,6,24
sj,2010,7,13
sj,2010,8,14
sj,2010,9,14
sj,2010,10,13
sj,2010,11,13
sj,2010,12,11
sj,2010,13,16
sj,2010,14,15
sj,2010,15,39
sj,2010,16,18
sj,2010,17,17
sj,2010,18,14
sj,2010,19,16
sj,2010,20,17
sj,2010,21,15
sj,2010,22,15
sj,2010,23,12
sj,2010,24,11
sj,2010,25,14
sj,2010,26,14
sj,2010,27,12
sj,2010,28,12
sj,2010,29,14
